DR Number,Date Occurred,Time Occurred,latitude,longitude
120411469,2012-06-21,2030,34.0449,-118.2137
120409972,2012-05-21,1100,34.0432,-118.2176
120411215,2012-06-20,1940,34.0428,-118.2167
120407489,2012-03-22,1500,34.0417,-118.2142
120409543,2012-05-11,620,34.0466,-118.2174
120408339,2012-04-12,1840,34.0428,-118.2167
120408010,2012-04-04,945,34.0578,-118.2102
120409082,2012-04-30,1305,34.0449,-118.2137
120408511,2012-04-17,1230,34.0814,-118.2257
120408666,2012-04-19,1550,34.0391,-118.2174
120406847,2012-03-07,1525,34.0417,-118.2142
120406775,2012-03-05,820,34.043,-118.2217
120408805,2012-04-23,1500,34.0462,-118.2198
120406761,2012-03-01,1400,34.0578,-118.2102
120407581,2012-03-24,115,34.0423,-118.2155
120407020,2012-03-11,930,34.093,-118.2058
120407627,2012-03-25,1140,34.0423,-118.2155
120409118,2012-05-01,1505,34.0541,-118.2126
120409941,2012-05-20,1500,34.0417,-118.2142
120410452,2012-06-01,730,34.0606,-118.2144
120407665,2012-03-25,1035,34.0578,-118.2102
120407273,2012-03-17,805,34.0423,-118.2155
120408219,2012-04-10,2125,34.0578,-118.2102
120410881,2012-06-12,2305,34.044,-118.2143
120407707,2012-03-27,1400,34.0455,-118.215
120406826,2012-03-06,1755,34.0415,-118.2136
120411430,2012-06-26,1550,34.043,-118.2217
120407334,2012-03-19,1200,34.0578,-118.2102
120407028,2012-03-11,1745,34.0431,-118.2196
120407545,2012-03-23,940,34.0586,-118.2118
120409619,2012-05-13,1630,34.0431,-118.2196
120408338,2012-04-12,1830,34.0589,-118.2126
120409235,2012-05-04,1310,34.0819,-118.2204
120409854,2012-05-18,830,34.0431,-118.2196
120407434,2012-03-21,1340,34.0428,-118.2167
120409539,2012-05-11,1100,34.0578,-118.2102
120406730,2012-03-04,805,34.0541,-118.2126
120410191,2012-05-25,1330,34.0449,-118.2137
120406768,2012-03-05,902,34.0417,-118.2142
120408601,2012-04-18,1640,34.0819,-118.2204
120407987,2012-04-02,1200,34.0578,-118.2102
120408758,2012-04-21,1830,34.0578,-118.2102
120406832,2012-03-07,810,34.0462,-118.2198
120609053,2012-03-07,2105,34.1053,-118.3213
120610135,2012-03-22,1350,34.0981,-118.3158
120612511,2012-04-07,900,34.1039,-118.3311
120609640,2012-03-14,1110,34.0929,-118.3092
120611339,2012-04-08,800,34.1016,-118.3252
120608559,2012-03-01,850,34.1053,-118.3224
120609851,2012-03-17,545,34.1016,-118.3252
120611517,2012-04-08,930,34.1017,-118.3158
120609164,2012-03-09,1620,34.0919,-118.3092
120609957,2012-03-19,820,34.1053,-118.3321
120611542,2012-04-11,1650,34.0863,-118.3051
120610589,2012-03-27,1135,34.0908,-118.307
120611753,2012-04-14,1,34.111,-118.3325
120610250,2012-03-23,2320,34.1112,-118.3358
120609729,2012-03-15,850,34.0948,-118.3114
120610518,2012-03-27,915,34.1078,-118.3308
120609210,2012-03-10,310,34.0908,-118.307
120610130,2012-03-21,1840,34.1017,-118.3158
120609335,2012-03-11,855,34.1053,-118.3252
120611821,2012-04-15,615,34.104,-118.3297
120612490,2012-04-13,1300,34.0867,-118.3091
120611748,2012-04-14,100,34.0981,-118.3197
120609937,2012-03-18,10,34.1016,-118.3252
120611206,2012-04-07,220,34.1054,-118.3137
120611670,2012-04-13,400,34.0981,-118.3092
120610972,2012-04-02,940,34.1054,-118.3137
120612516,2012-04-24,1635,34.0836,-118.3051
120612287,2012-04-21,1355,34.0908,-118.307
120609152,2012-03-08,1320,34.1274,-118.345
120610859,2012-03-31,2355,34.1115,-118.3331
120610410,2012-03-24,2140,34.0919,-118.3092
120609850,2012-03-17,1000,34.0938,-118.3136
120609849,2012-03-17,1130,34.131,-118.3452
120612646,2012-04-27,20,34.0908,-118.3092
120611256,2012-04-07,2135,34.1053,-118.3252
120610018,2012-03-17,1920,34.1038,-118.3267
120610876,2012-03-31,2230,34.1017,-118.3123
120611456,2012-04-10,1415,34.0981,-118.3092
120611769,2012-04-14,100,34.1017,-118.3167
120609929,2012-03-18,2005,34.0939,-118.3092
120612728,2012-04-21,2120,34.1112,-118.3358
120611820,2012-04-14,2145,34.0864,-118.3059
120612152,2012-04-19,1900,34.0981,-118.3109
120608675,2012-03-02,235,34.1115,-118.3331
120612439,2012-04-22,1525,34.1016,-118.3252
120610387,2012-03-25,1350,34.0919,-118.3092
120612770,2012-04-29,1000,34.0908,-118.3109
120609348,2012-03-11,155,34.1016,-118.3267
120609938,2012-03-18,315,34.1038,-118.3267
120610138,2012-03-19,2045,34.104,-118.3297
120610957,2012-03-31,2145,34.0981,-118.3197
120608851,2012-03-05,1400,34.1235,-118.3416
120610954,2012-04-01,1900,34.0981,-118.3109
120610096,2012-03-21,835,34.1053,-118.3252
120611959,2012-04-17,1220,34.0885,-118.3092
120611760,2012-04-06,130,34.0908,-118.3092
120610494,2012-03-26,1800,34.1053,-118.3192
120610740,2012-03-30,1550,34.1052,-118.3267
120612721,2012-04-27,345,34.1017,-118.3224
120612752,2012-04-29,200,34.1038,-118.3267
120612289,2012-04-21,1300,34.0981,-118.3092
120610861,2012-04-01,645,34.0908,-118.3092
120610778,2012-03-31,200,34.1053,-118.3321
120612674,2012-04-27,1545,34.0981,-118.3136
120612404,2012-04-23,1355,34.0928,-118.3136
120609320,2012-03-11,1009,34.1038,-118.3267
120609812,2012-03-17,255,34.1111,-118.3326
120608686,2012-03-02,2315,34.0981,-118.3158
120612096,2012-04-19,130,34.0981,-118.3093
120610880,2012-03-31,1120,34.1017,-118.318
120608734,2012-03-03,1655,34.0908,-118.306
120609747,2012-03-15,2055,34.0836,-118.3051
120609524,2012-03-13,1120,34.0836,-118.3016
120611338,2012-04-08,230,34.0908,-118.3092
120612428,2012-04-23,1120,34.1053,-118.324
120609939,2012-03-18,2110,34.1017,-118.3224
120612686,2012-04-27,2115,34.095,-118.307
120610528,2012-03-27,1420,34.0981,-118.3092
120612336,2012-04-21,1700,34.0981,-118.3158
120608598,2012-03-01,2300,34.1016,-118.3267
120610519,2012-03-26,1800,34.0908,-118.3092
120611196,2012-04-06,2200,34.104,-118.3297
120609596,2012-03-14,820,34.0836,-118.3016
120611376,2012-04-08,205,34.1053,-118.3224
120609417,2012-03-11,2153,34.0981,-118.3158
120609934,2012-03-17,230,34.1016,-118.3267
120612288,2012-04-20,2035,34.0836,-118.3051
120608984,2012-03-06,2000,34.0896,-118.3092
120609162,2012-03-09,1415,34.0981,-118.3136
120609195,2012-03-09,2330,34.1053,-118.318
120611731,2012-04-13,1840,34.0928,-118.3136
120610375,2012-03-25,230,34.1122,-118.3352
120610134,2012-03-22,1351,34.0981,-118.3158
120615525,2012-06-05,500,34.0899,-118.3078
120614825,2012-05-25,1745,34.0908,-118.3092
120612904,2012-04-29,200,34.1017,-118.318
120616678,2012-06-22,2000,34.1017,-118.318
120614999,2012-05-28,140,34.1122,-118.3346
120616415,2012-06-19,620,34.1053,-118.329
120615813,2012-06-08,1700,34.0908,-118.3046
120614991,2012-05-28,125,34.1017,-118.3158
120614224,2012-05-17,1505,34.0981,-118.3092
120614634,2012-05-23,1145,34.1122,-118.3352
120613924,2012-05-13,1233,34.1053,-118.324
120616049,2012-06-12,2300,34.1086,-118.3236
120614612,2012-05-21,1830,34.0948,-118.3157
120616086,2012-06-14,200,34.1053,-118.318
120613800,2012-05-12,140,34.1017,-118.3245
120615571,2012-06-03,1355,34.0981,-118.3158
120616771,2012-06-23,2335,34.0863,-118.3005
120616000,2012-06-11,1221,34.1042,-118.3224
120616305,2012-06-17,1430,34.1016,-118.3267
120615521,2012-06-04,1840,34.1053,-118.318
120613517,2012-05-08,715,34.1005,-118.3148
120615895,2012-06-10,1745,34.104,-118.3297
120615418,2012-06-03,1430,34.0981,-118.3092
120616159,2012-06-14,2359,34.1063,-118.3362
120615097,2012-05-29,1600,34.0876,-118.3091
120613548,2012-05-08,2330,34.104,-118.3297
120616473,2012-06-20,1130,34.0981,-118.319
120616058,2012-06-13,1345,34.1053,-118.318
120616363,2012-06-18,1710,34.1043,-118.3224
120613469,2012-05-07,1230,34.1075,-118.3307
120616808,2012-06-24,2040,34.1053,-118.329
120614184,2012-05-16,2335,34.1053,-118.329
120615464,2012-06-03,1115,34.0981,-118.3136
120613990,2012-05-14,1330,34.1005,-118.3115
120612972,2012-05-01,905,34.1121,-118.3331
120613369,2012-05-06,5,34.1017,-118.3224
120615533,2012-06-05,455,34.0899,-118.3078
120615636,2012-06-06,130,34.1038,-118.3267
120615276,2012-06-01,130,34.104,-118.3297
120613257,2012-05-05,1215,34.0908,-118.3046
120615970,2012-06-11,1614,34.0885,-118.3092
120616994,2012-06-27,650,34.0908,-118.3092
120614909,2012-05-26,315,34.1017,-118.318
120615067,2012-05-28,2300,34.1053,-118.3252
120616120,2012-06-14,1300,34.1053,-118.318
120613503,2012-05-07,2115,34.0981,-118.3136
120613692,2012-05-10,1835,34.1017,-118.3136
120612968,2012-05-01,910,34.0956,-118.3092
120614533,2012-05-22,800,34.095,-118.307
120616784,2012-06-23,2355,34.1017,-118.3158
120618919,2012-06-02,2000,34.0868,-118.3078
120615007,2012-05-28,525,34.0836,-118.3005
120613804,2012-05-12,15,34.0856,-118.3005
120615498,2012-06-04,1305,34.0939,-118.3092
120616835,2012-06-24,2215,34.0885,-118.3092
120614092,2012-05-15,2100,34.0993,-118.3166
120616471,2012-06-20,1300,34.0948,-118.3136
120614622,2012-05-23,835,34.1053,-118.3158
120615177,2012-05-30,1330,34.0836,-118.3016
120614183,2012-05-16,2125,34.0836,-118.3051
120614416,2012-05-19,1730,34.1112,-118.3358
120615967,2012-06-11,2140,34.104,-118.318
120615452,2012-06-03,1030,34.1053,-118.329
120615465,2012-06-03,2115,34.1053,-118.3229
120615888,2012-06-10,105,34.0876,-118.3091
120613803,2012-05-12,245,34.1075,-118.3307
120613259,2012-05-05,1215,34.0908,-118.3046
120615336,2012-06-01,2340,34.1017,-118.3224
120613402,2012-05-06,230,34.104,-118.3297
120614610,2012-05-22,905,34.1053,-118.3252
120613989,2012-05-14,645,34.1267,-118.3437
120616487,2012-06-20,2210,34.0867,-118.3091
120614409,2012-05-20,200,34.0876,-118.3091
120613180,2012-05-04,1950,34.0867,-118.3091
120613693,2012-05-10,1900,34.1121,-118.3331
120614521,2012-05-16,1030,34.0908,-118.3092
120616897,2012-06-25,1910,34.1112,-118.3358
120614637,2012-05-23,1810,34.0908,-118.3092
120615004,2012-05-20,1,34.1098,-118.33
120614286,2012-05-17,2310,34.1126,-118.3333
120612940,2012-04-30,2245,34.094,-118.3046
120613496,2012-05-07,1850,34.1017,-118.318
120615667,2012-06-06,1400,34.1053,-118.318
120618329,2012-06-08,950,34.0981,-118.318
120616769,2012-06-23,2335,34.0863,-118.3005
120615363,2012-06-02,245,34.0885,-118.3092
120616199,2012-06-14,2055,34.1054,-118.3137
120613272,2012-05-04,1030,34.1112,-118.3358
120615064,2012-05-29,205,34.0885,-118.3092
120615915,2012-06-11,115,34.1039,-118.3317
120616971,2012-06-25,1730,34.0908,-118.3092
120616237,2012-06-16,1620,34.0908,-118.3092
120615574,2012-06-05,1745,34.0956,-118.3092
120615621,2012-06-06,1005,34.0908,-118.306
120614461,2012-05-20,2315,34.1053,-118.3213
120616026,2012-06-12,2210,34.1017,-118.3136
120614421,2012-05-20,440,34.0981,-118.3158
120613398,2012-05-06,1445,34.0908,-118.3025
120615183,2012-05-30,2130,34.0981,-118.3136
120616428,2012-06-19,2000,34.1055,-118.3267
120616662,2012-06-22,1635,34.119,-118.3414
120615370,2012-06-01,2300,34.0949,-118.3104
120615450,2012-06-03,1425,34.0981,-118.3092
120909204,2012-04-05,1750,34.1721,-118.4662
120907831,2012-03-10,2020,34.1576,-118.4312
120909256,2012-04-06,2120,34.1585,-118.4662
120908829,2012-03-29,1300,34.1576,-118.44
120907967,2012-03-13,1430,34.1721,-118.4662
120908775,2012-03-27,835,34.2012,-118.4734
120907870,2012-03-10,50,34.1649,-118.4662
120908251,2012-03-18,630,34.1576,-118.44
120908005,2012-03-13,2000,34.1594,-118.4487
120909084,2012-04-03,900,34.1576,-118.4236
120908633,2012-03-25,725,34.1594,-118.4486
120907563,2012-03-05,1750,34.1603,-118.4656
120907530,2012-03-04,1230,34.1576,-118.44
120908647,2012-03-25,1500,34.1721,-118.4662
120907854,2012-03-11,1515,34.1553,-118.4312
120907273,2012-03-01,1400,34.154,-118.4552
120907586,2012-03-02,1530,34.1576,-118.44
120908338,2012-03-19,1200,34.1585,-118.4662
120908284,2012-03-18,2005,34.1576,-118.4659
120908851,2012-03-29,1615,34.1576,-118.4312
120908243,2012-03-18,150,34.1721,-118.4662
120908698,2012-03-27,1155,34.153,-118.4312
120908568,2012-03-23,1615,34.1758,-118.4662
120907434,2012-03-03,1955,34.1576,-118.4574
120908914,2012-03-31,10,34.153,-118.4487
120908144,2012-03-15,2030,34.164,-118.4662
120909046,2012-04-02,1200,34.1538,-118.4662
120908674,2012-03-26,1715,34.1685,-118.4659
120907596,2012-03-06,1520,34.1758,-118.4662
120907751,2012-03-09,1130,34.1685,-118.4659
120908058,2012-03-14,1320,34.1794,-118.4662
120909049,2012-04-02,1330,34.1806,-118.4662
120908630,2012-03-10,1200,34.1576,-118.44
120908823,2012-03-29,920,34.1794,-118.4662
120908286,2012-03-18,1910,34.1576,-118.44
120907818,2012-03-09,1515,34.1721,-118.4662
120907647,2012-03-07,1610,34.1594,-118.4486
120908714,2012-03-27,1750,34.1703,-118.4662
120907974,2012-03-11,1500,34.1538,-118.4662
120909142,2012-04-04,1300,34.1576,-118.4312
121009160,2012-04-17,2215,34.1775,-118.536
121010886,2012-05-24,1605,34.1723,-118.5185
120912367,2012-06-02,2100,34.1721,-118.4662
120913374,2012-06-23,315,34.1553,-118.4312
120910761,2012-05-05,940,34.1585,-118.4662
120911140,2012-05-11,1100,34.1594,-118.4487
120911945,2012-05-14,1900,34.1538,-118.4662
120909335,2012-04-06,1225,34.1576,-118.44
120913621,2012-06-27,1755,34.1721,-118.4662
120911594,2012-05-19,1455,34.1576,-118.4659
120912773,2012-06-10,900,34.1576,-118.44
120912462,2012-06-04,1830,34.1576,-118.4052
120912939,2012-06-13,1015,34.1538,-118.4662
120911729,2012-05-22,750,34.1538,-118.4662
120913194,2012-06-19,1500,34.1576,-118.4225
120909985,2012-04-20,5,34.1603,-118.4656
120909565,2012-04-12,820,34.2012,-118.4734
120910355,2012-04-13,1500,34.1538,-118.4662
120910009,2012-04-20,1820,34.1576,-118.44
120912284,2012-06-01,1440,34.1685,-118.4659
120911185,2012-05-12,1315,34.1721,-118.4662
120912689,2012-06-08,1215,34.1576,-118.44
120912996,2012-06-14,1350,34.1586,-118.4312
120911968,2012-05-26,335,34.1576,-118.4138
120913234,2012-06-19,2145,34.2012,-118.4723
120909776,2012-04-14,1730,34.1576,-118.44
120911864,2012-05-24,1640,34.1649,-118.4662
120911484,2012-05-16,1515,34.1594,-118.4487
120912262,2012-06-01,1030,34.183,-118.4699
120912997,2012-06-14,1600,34.1553,-118.4312
120910480,2012-04-29,2140,34.1703,-118.4662
120913299,2012-06-21,740,34.1594,-118.4487
120911733,2012-05-22,1030,34.1576,-118.4312
120911188,2012-05-12,1810,34.1553,-118.4312
120911194,2012-05-13,1,34.153,-118.4487
120909969,2012-04-03,1400,34.1594,-118.4487
120910424,2012-04-28,1420,34.1576,-118.4432
120911279,2012-05-14,910,34.1557,-118.4312
120910237,2012-04-25,945,34.1538,-118.4662
120911058,2012-05-09,730,34.1576,-118.4225
120912961,2012-06-13,1920,34.1794,-118.4662
120911535,2012-05-17,1355,34.1758,-118.4662
120910687,2012-05-03,1335,34.1576,-118.4236
120909450,2012-04-10,1900,34.1721,-118.4662
120909484,2012-04-11,1115,34.153,-118.4312
120912558,2012-05-19,1630,34.1576,-118.438
120909698,2012-04-14,1900,34.1631,-118.4662
120913297,2012-06-21,1015,34.1721,-118.4662
120910680,2012-05-03,1415,34.1576,-118.4149
120910896,2012-03-29,1415,34.1576,-118.44
120910300,2012-04-24,1200,34.1576,-118.4312
120912341,2012-06-02,1440,34.153,-118.4487
120911333,2012-05-15,1615,34.182,-118.4662
120911895,2012-05-25,840,34.1594,-118.4486
120910200,2012-04-24,2020,34.1576,-118.438
120912030,2012-05-28,1055,34.1576,-118.4659
120911107,2012-05-10,710,34.1597,-118.4662
120910089,2012-04-22,1135,34.1685,-118.4659
120913401,2012-06-22,1805,34.153,-118.4487
120911403,2012-05-14,2115,34.1576,-118.4312
120917078,2012-03-27,655,34.1622,-118.4662
120913258,2012-06-20,840,34.1758,-118.4673
120911187,2012-05-12,1215,34.1721,-118.4662
120911935,2012-05-25,1445,34.1794,-118.4662
120913815,2012-06-25,1345,34.1806,-118.4662
120912488,2012-06-02,1315,34.1576,-118.4138
120910360,2012-04-27,1800,34.2012,-118.4706
120910961,2012-05-08,940,34.1538,-118.4662
120909682,2012-04-14,2215,34.1594,-118.4487
120910124,2012-04-23,1010,34.1721,-118.4662
120913275,2012-06-16,1400,34.1576,-118.44
120911402,2012-05-16,1030,34.1794,-118.4662
120911245,2012-05-13,1115,34.153,-118.4487
120910070,2012-04-21,1330,34.1576,-118.4659
