DR Number,Date Occurred,Time Occurred,latitude,longitude
120113932,2012-06-14,540,34.0328,-118.2647
120108741,2012-03-24,2255,33.7832,-118.2808
120110311,2012-04-18,1800,34.0557,-118.2436
120111692,2012-05-10,1630,34.043,-118.2606
120108346,2012-03-19,1155,34.0452,-118.2569
120107326,2012-03-01,2035,34.0445,-118.2523
120114159,2012-06-17,1605,34.0401,-118.2668
120107646,2012-03-06,1630,34.0408,-118.2644
120112026,2012-05-16,1140,34.0445,-118.2558
120108606,2012-03-22,1840,34.0639,-118.2446
120114252,2012-06-19,1430,34.0464,-118.248
120110385,2012-04-20,1600,34.0346,-118.2572
120108102,2012-03-14,1535,34.043,-118.2606
120110705,2012-04-25,2220,34.0586,-118.2402
120112276,2012-05-20,2330,34.0563,-118.2309
120113691,2012-06-10,1930,34.033,-118.2615
120109040,2012-03-30,1020,34.0359,-118.2711
120110936,2012-04-28,1840,34.0391,-118.2659
120112499,2012-05-23,1120,34.0467,-118.2427
120110615,2012-04-24,2205,34.0492,-118.2324
120113848,2012-06-13,10,34.0405,-118.2567
120114166,2012-06-17,2155,34.0635,-118.2458
120111387,2012-05-05,1200,34.0516,-118.2561
120112345,2012-05-21,1315,34.0479,-118.2612
120113031,2012-05-31,1715,34.0635,-118.2356
120107988,2012-03-12,1625,34.049,-118.2381
120109180,2012-03-21,1900,34.0401,-118.2668
120113450,2012-05-25,1530,34.0392,-118.2343
120111830,2012-05-13,205,34.0583,-118.2378
120109314,2012-04-03,2035,34.0352,-118.2654
120110411,2012-04-21,1100,34.0568,-118.2425
120109382,2012-04-04,1620,34.0561,-118.2415
120114521,2012-06-23,1120,34.0345,-118.266
120107628,2012-03-06,1635,34.0329,-118.2632
120114783,2012-06-27,1800,34.0495,-118.2563
120113349,2012-06-06,315,34.0495,-118.2494
120107758,2012-03-08,1535,34.0509,-118.2585
120111154,2012-05-02,1615,34.0449,-118.2458
120112724,2012-05-25,240,34.0342,-118.2636
120107956,2012-03-12,730,34.0488,-118.2553
120109528,2012-04-06,5,34.0459,-118.2545
120108769,2012-03-26,1010,34.0366,-118.2602
120113183,2012-06-03,945,34.051,-118.248
120111588,2012-05-09,750,34.0557,-118.2436
120111336,2012-05-04,1155,34.0562,-118.2414
120114439,2012-06-22,300,34.069,-118.249
120111026,2012-04-30,1205,34.0648,-118.2313
120109312,2012-04-03,2345,34.0433,-118.2504
120112769,2012-05-27,1400,34.0561,-118.2415
120109089,2012-03-29,1130,34.0452,-118.2569
120113169,2012-06-03,200,34.0556,-118.2575
120114692,2012-06-26,950,34.0354,-118.264
120113839,2012-06-12,1839,34.0688,-118.2333
120107852,2012-03-09,1755,34.039,-118.2444
120113344,2012-06-05,1625,34.0467,-118.252
120114540,2012-06-23,1730,34.0673,-118.2354
120111257,2012-05-03,1350,34.0445,-118.2558
120112974,2012-05-30,1515,34.0442,-118.268
120111305,2012-04-28,2330,34.048,-118.2577
120107882,2012-03-10,1725,34.0391,-118.2659
120107786,2012-03-08,2045,34.0562,-118.2414
120110717,2012-04-04,1130,34.0644,-118.2387
120107552,2012-03-05,1720,34.0503,-118.247
120109206,2012-04-02,1300,34.0587,-118.233
120112120,2012-05-17,1345,34.0395,-118.2527
120108996,2012-03-29,1540,34.0387,-118.2488
120109542,2012-04-07,610,34.0515,-118.2424
120108866,2012-03-27,515,34.0359,-118.2711
120111139,2012-05-02,820,34.0627,-118.2359
120108104,2012-03-14,1820,34.0337,-118.261
120114061,2012-06-15,2330,34.0357,-118.2593
120112979,2012-05-30,1810,34.0511,-118.2381
120110159,2012-04-17,2105,34.045,-118.2628
120109905,2012-04-13,1,34.0509,-118.2585
120108285,2012-03-17,1810,34.0395,-118.2656
120114247,2012-06-19,1210,34.0558,-118.24
120112882,2012-05-29,915,34.035,-118.2386
120108405,2012-03-20,1100,34.043,-118.2606
120110701,2012-04-25,1915,34.0598,-118.2477
120112492,2012-05-23,900,34.0476,-118.2637
120113684,2012-06-06,1550,34.0444,-118.2593
120111576,2012-05-08,1355,34.0409,-118.2574
120111655,2012-05-09,2255,34.0568,-118.2425
120109116,2012-03-31,1810,34.0409,-118.2574
120114563,2012-06-24,1030,34.0407,-118.268
120112644,2012-05-25,955,34.0382,-118.2384
120107705,2012-03-07,5,34.0469,-118.2381
120114036,2012-06-15,1640,34.065,-118.2384
120109248,2012-03-20,1530,34.0498,-118.24
120113258,2012-06-04,1310,34.0419,-118.2485
120108774,2012-03-26,805,34.0604,-118.2393
120108616,2012-03-22,2003,34.0481,-118.2633
120109653,2012-04-09,710,34.0327,-118.261
120111097,2012-05-01,1605,34.0328,-118.2647
120107359,2012-03-02,910,34.0502,-118.254
120113262,2012-06-01,1,34.0452,-118.2534
120108191,2012-03-10,1630,34.0472,-118.2385
120110392,2012-04-20,900,34.0342,-118.2636
120112222,2012-05-19,225,34.0537,-118.2558
120109425,2012-04-05,945,34.0323,-118.2621
120111822,2012-05-12,1912,34.0534,-118.2409
120108042,2012-03-13,1745,34.047,-118.2526
120107694,2012-03-07,1715,34.0416,-118.2584
120109967,2012-04-13,1900,34.0444,-118.2593
120114330,2012-06-20,2100,34.0405,-118.2567
120108933,2012-03-28,1645,34.0565,-118.2445
120110133,2012-04-17,930,34.0375,-118.2556
120112011,2012-05-15,1400,34.0544,-118.2535
120113564,2012-06-08,1350,34.0429,-118.2397
120108362,2012-03-19,1600,34.0541,-118.2417
120108678,2012-03-24,910,34.042,-118.2555
120110812,2012-04-26,2110,34.045,-118.264
120110658,2012-04-25,1115,34.0395,-118.2656
120114408,2012-06-21,1510,34.0503,-118.247
120111744,2012-05-11,1405,34.0644,-118.2387
120108223,2012-03-16,1510,34.0438,-118.2547
120111454,2012-05-06,1505,34.0628,-118.2395
120114225,2012-06-18,2200,34.0412,-118.2331
120113092,2012-06-01,1548,34.0455,-118.2381
120111864,2012-05-13,1405,34.0459,-118.2657
120109992,2012-04-14,1935,34.0449,-118.2458
120114708,2012-06-26,1635,34.0527,-118.2314
120112842,2012-05-21,410,34.0424,-118.2493
120110480,2012-04-22,1515,34.0408,-118.2644
120107306,2012-03-01,1130,34.0544,-118.2535
120107444,2012-03-03,1900,34.0449,-118.2458
120111906,2012-05-14,830,34.0472,-118.2385
120113759,2012-06-08,2025,34.0434,-118.2542
120112436,2012-05-22,915,34.0319,-118.2631
120108248,2012-03-17,15,34.0473,-118.2566
120109881,2012-04-12,1820,34.0433,-118.2504
120112684,2012-05-25,2150,34.0586,-118.2402
120110501,2012-04-22,2355,34.0537,-118.2379
120109041,2012-03-30,1350,34.0452,-118.2569
120113750,2012-06-11,1959,34.0347,-118.2645
120114542,2012-06-23,1805,34.0736,-118.2312
120112090,2012-05-16,2035,34.0581,-118.2371
